,feeling,news,news_tokens,news_tokens_tagged
0,neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","['accord', 'gran', 'company', 'plan', 'move', 'production', 'russia', 'although', 'company', 'grow']","[('accord', 'NN'), ('gran', 'VBD'), ('company', 'NN'), ('plan', 'NN'), ('move', 'VBP'), ('production', 'NN'), ('russia', 'NN'), ('although', 'IN'), ('company', 'NN'), ('grow', 'NN')]"
1,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","['technopolis', 'plan', 'develop', 'stage', 'area', 'le', 'square', 'meter', 'order', 'host', 'company', 'work', 'computer', 'technology', 'telecommunication', 'statement', 'say']","[('technopolis', 'NN'), ('plan', 'NN'), ('develop', 'VBP'), ('stage', 'JJ'), ('area', 'NN'), ('le', 'NN'), ('square', 'NN'), ('meter', 'NN'), ('order', 'NN'), ('host', 'NN'), ('company', 'NN'), ('work', 'NN'), ('computer', 'NN'), ('technology', 'NN'), ('telecommunication', 'NN'), ('statement', 'NN'), ('say', 'VBP')]"
2,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","['international', 'electronic', 'industry', 'company', 'elcoteq', 'lay', 'ten', 'employee', 'tallinn', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'postimees', 'report']","[('international', 'JJ'), ('electronic', 'JJ'), ('industry', 'NN'), ('company', 'NN'), ('elcoteq', 'VBP'), ('lay', 'NN'), ('ten', 'VBN'), ('employee', 'NN'), ('tallinn', 'NN'), ('facility', 'NN'), ('contrary', 'VBP'), ('early', 'RB'), ('layoff', 'VBN'), ('company', 'NN'), ('contract', 'NN'), ('rank', 'NN'), ('office', 'NN'), ('worker', 'NN'), ('daily', 'JJ'), ('postimees', 'NNS'), ('report', 'NN')]"
3,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"['new', 'production', 'plant', 'company', 'would', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'would', 'improve', 'use', 'raw', 'material', 'therefore', 'increase', 'production', 'profitability']","[('new', 'JJ'), ('production', 'NN'), ('plant', 'NN'), ('company', 'NN'), ('would', 'MD'), ('increase', 'VB'), ('capacity', 'NN'), ('meet', 'NN'), ('expect', 'JJ'), ('increase', 'NN'), ('demand', 'NN'), ('would', 'MD'), ('improve', 'VB'), ('use', 'NN'), ('raw', 'JJ'), ('material', 'NN'), ('therefore', 'NN'), ('increase', 'NN'), ('production', 'NN'), ('profitability', 'NN')]"
4,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","['accord', 'company', 'update', 'strategy', 'year', 'basware', 'target', 'longterm', 'net', 'sale', 'growth', 'range', 'operate', 'profit', 'margin', 'net', 'sale']","[('accord', 'NN'), ('company', 'NN'), ('update', 'NN'), ('strategy', 'NN'), ('year', 'NN'), ('basware', 'NN'), ('target', 'NN'), ('longterm', 'JJ'), ('net', 'JJ'), ('sale', 'NN'), ('growth', 'NN'), ('range', 'NN'), ('operate', 'JJ'), ('profit', 'NN'), ('margin', 'NN'), ('net', 'JJ'), ('sale', 'NN')]"
5,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"['finance', 'aspocomp', 'growth', 'aspocomp', 'aggressively', 'pursue', 'growth', 'strategy', 'increasingly', 'focus', 'technologically', 'demand', 'hdi', 'print', 'circuit', 'board', 'pcbs']","[('finance', 'NN'), ('aspocomp', 'NN'), ('growth', 'NN'), ('aspocomp', 'VBP'), ('aggressively', 'RB'), ('pursue', 'JJ'), ('growth', 'NN'), ('strategy', 'NN'), ('increasingly', 'RB'), ('focus', 'VB'), ('technologically', 'RB'), ('demand', 'NN'), ('hdi', 'JJ'), ('print', 'NN'), ('circuit', 'NN'), ('board', 'NN'), ('pcbs', 'NN')]"
6,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","['last', 'quarter', 'componenta', 'net', 'sale', 'double', 'eurm', 'eurm', 'period', 'year', 'early', 'move', 'zero', 'pretax', 'profit', 'pretax', 'loss', 'eurm']","[('last', 'JJ'), ('quarter', 'NN'), ('componenta', 'VBD'), ('net', 'JJ'), ('sale', 'NN'), ('double', 'JJ'), ('eurm', 'JJ'), ('eurm', 'NN'), ('period', 'NN'), ('year', 'NN'), ('early', 'RB'), ('move', 'NN'), ('zero', 'CD'), ('pretax', 'JJ'), ('profit', 'NN'), ('pretax', 'JJ'), ('loss', 'NN'), ('eurm', 'NN')]"
7,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","['third', 'quarter', 'net', 'sale', 'increase', 'eur', 'mn', 'operate', 'profit', 'eur', 'mn']","[('third', 'JJ'), ('quarter', 'NN'), ('net', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'JJ'), ('operate', 'NN'), ('profit', 'NN'), ('eur', 'NN'), ('mn', 'NN')]"
8,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"['operate', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'correspond', 'period', 'represent', 'net', 'sale']","[('operate', 'NN'), ('profit', 'NN'), ('rise', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'FW'), ('correspond', 'NN'), ('period', 'NN'), ('represent', 'JJ'), ('net', 'JJ'), ('sale', 'NN')]"
9,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","['operate', 'profit', 'total', 'eur', 'mn', 'eur', 'mn', 'represent', 'net', 'sale']","[('operate', 'NN'), ('profit', 'NN'), ('total', 'JJ'), ('eur', 'JJ'), ('mn', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('represent', 'JJ'), ('net', 'JJ'), ('sale', 'NN')]"
